date,STRONG_BUY_count_5d,STRONG_BUY_hit_rate_5d,STRONG_BUY_avg_return_5d,STRONG_BUY_count_10d,STRONG_BUY_hit_rate_10d,STRONG_BUY_avg_return_10d,STRONG_BUY_count_20d,STRONG_BUY_hit_rate_20d,STRONG_BUY_avg_return_20d,BUY_count_5d,BUY_hit_rate_5d,BUY_avg_return_5d,BUY_count_10d,BUY_hit_rate_10d,BUY_avg_return_10d,BUY_count_20d,BUY_hit_rate_20d,BUY_avg_return_20d,HOLD_count_5d,HOLD_hit_rate_5d,HOLD_avg_return_5d,HOLD_count_10d,HOLD_hit_rate_10d,HOLD_avg_return_10d,HOLD_count_20d,HOLD_hit_rate_20d,HOLD_avg_return_20d,SELL_count_5d,SELL_hit_rate_5d,SELL_avg_return_5d,SELL_count_10d,SELL_hit_rate_10d,SELL_avg_return_10d,SELL_count_20d,SELL_hit_rate_20d,SELL_avg_return_20d,idx_momentum_3d,idx_momentum_5d,idx_momentum_10d
2025-04-29,1,100.0,32.4975979471299,1,100.0,32.48404685583823,1,0.0,,1,100.0,17.908258197141347,1,100.0,15.167199256980112,1,0.0,,13,100.0,8.884051079842763,13,100.0,10.921483132799422,13,0.0,,197,16.243654822335024,2.0193188030701195,197,9.644670050761421,3.8092694725957514,197,0.0,,1.708341097318744,3.1681304893350193,3.5525003935561905
2025-04-28,1,100.0,34.90544168092875,1,100.0,36.71522697437306,1,0.0,,1,100.0,20.470253569180397,1,100.0,16.949961527655176,1,0.0,,14,100.0,8.274499284082015,14,100.0,11.856323350686214,14,0.0,,196,28.061224489795915,0.8097666337112429,196,9.693877551020408,3.605971348229321,196,0.0,,0.9225676681607231,2.4288504352159235,
2025-04-25,5,100.0,13.015255658044444,5,100.0,16.006608978701095,5,0.0,,10,100.0,6.7167564274517115,10,100.0,10.4841548256075,10,0.0,,162,95.06172839506173,2.139095841610691,162,100.0,6.327416612797577,162,0.0,,35,88.57142857142857,-1.5050449299343347,35,17.142857142857142,2.3233435962932885,35,0.0,,2.3992214393720124,2.5319921720852845,
2025-04-24,3,100.0,10.166880858496345,3,100.0,32.667473195423696,3,0.0,,18,100.0,5.470831074266884,18,100.0,12.427066846207273,18,0.0,,158,94.9367088607595,2.1569004929177895,158,97.46835443037975,6.274340584649164,158,0.0,,33,63.63636363636363,-1.010236865220368,33,18.181818181818183,2.0117829677145447,33,0.0,,1.3627120823655137,2.1016754303941454,
2025-04-23,1,100.0,24.282852143246703,1,100.0,72.49930924947286,1,0.0,,3,100.0,12.757890106224709,3,100.0,22.980844840452846,3,0.0,,23,100.0,6.867336800265045,23,100.0,18.413401242372323,23,0.0,,185,3.783783783783784,2.769809952272412,185,0.5405405405405406,10.960041050206135,185,0.0,,1.696853532628384,3.1923282790519147,
2025-04-22,1,100.0,48.74116593328684,1,100.0,93.07544112225715,1,0.0,,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,211,27.488151658767773,1.5665265646405622,211,0.9478672985781991,8.648696350051337,211,0.0,,0.6569759675519427,0.37256651099333293,
2025-04-21,1,100.0,52.036934914416236,1,100.0,100.79977764174095,1,0.0,,0,-,-,0,-,-,0,-,-,1,100.0,15.204535037566448,1,100.0,36.949939118756284,1,0.0,,210,10.476190476190476,2.5456574400243275,210,2.857142857142857,9.527475241251661,210,0.0,,1.6748180744699637,,
2025-04-18,1,100.0,57.60379811812175,1,100.0,76.28222941271349,1,0.0,,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,211,4.739336492890995,3.7725124099975558,211,16.113744075829384,4.823572106289142,211,0.0,,0.24259206187107196,,
2025-04-17,1,100.0,48.214615206032164,1,100.0,61.39210996883089,1,0.0,,0,-,-,0,-,-,0,-,-,9,100.0,13.756073760528515,9,100.0,18.259835973094017,9,0.0,,202,11.881188118811881,3.7220538458195396,202,16.831683168316832,4.417856038764988,202,0.0,,,,
2025-04-16,1,100.0,38.79574396204919,1,100.0,42.27709361622147,1,0.0,,0,-,-,0,-,-,0,-,-,61,100.0,12.74556188234735,61,100.0,8.76000330876768,61,0.0,,150,1.3333333333333335,6.488889948244367,150,40.666666666666664,0.9444805486744959,150,0.0,,,,
2025-04-15,1,100.0,29.80632490729238,1,100.0,34.374125092012434,1,0.0,,25,100.0,14.964876376890448,25,96.0,11.779192365068344,25,0.0,,173,100.0,6.427352601802976,173,68.78612716763006,2.2355105034735874,173,0.0,,13,15.384615384615385,-0.6699428955816494,13,76.92307692307693,-1.4092471130369062,13,0.0,,,,
2025-04-14,1,100.0,32.07302406798327,1,100.0,39.85376888793051,1,0.0,,2,100.0,24.60246258804468,2,100.0,20.29830570738741,2,0.0,,15,100.0,16.49313820594413,15,100.0,19.966915470562647,15,0.0,,194,6.185567010309279,5.945677474360396,194,27.31958762886598,3.3984674189964643,194,0.0,,,,
2025-04-11,1,100.0,21.35593628038319,1,100.0,52.82860212566578,1,0.0,,9,100.0,11.98441912482623,9,100.0,19.995580915043067,9,0.0,,29,100.0,5.614061861861813,29,96.55172413793103,7.390587072548075,29,0.0,,173,52.02312138728323,-0.4052587393335121,173,64.16184971098265,-1.950107246965502,173,0.0,,,,
2025-04-10,2,100.0,36.32001512434563,2,100.0,57.77608018669706,2,0.0,,0,-,-,0,-,-,0,-,-,5,100.0,9.385851155355445,5,100.0,41.54003394016867,5,0.0,,205,52.6829268292683,0.33035180599984804,205,75.1219512195122,-3.1146473148098917,205,0.0,,,,
2025-04-09,2,100.0,42.84331369416893,2,100.0,49.64983609848247,2,0.0,,0,-,-,0,-,-,0,-,-,2,50.0,3.709299215099377,2,100.0,42.85172475180787,2,0.0,,208,86.53846153846155,-5.110036332716268,208,92.3076923076923,-8.487638993143962,208,0.0,,,,
2025-04-08,2,100.0,46.22669230693812,2,100.0,66.50273951737451,2,0.0,,0,-,-,0,-,-,0,-,-,1,100.0,13.677158954125467,1,100.0,13.344101733766479,1,0.0,,209,81.81818181818183,-4.007932976638428,209,84.21052631578947,-5.711011307770703,209,0.0,,,,
2025-04-07,1,100.0,66.93308846839187,1,100.0,74.96128040569678,1,0.0,,1,100.0,49.482680212025286,1,100.0,49.007410350625925,1,0.0,,0,-,-,0,-,-,0,-,-,210,73.80952380952381,-2.4980358064574384,210,91.42857142857143,-6.940395859946602,210,0.0,,,,
2025-04-04,1,100.0,44.352832193794775,1,100.0,53.77968988998334,1,0.0,,1,100.0,25.93417908504079,1,100.0,19.487367374036623,1,0.0,,2,100.0,4.382892790980364,2,100.0,77.24197877562179,2,0.0,,208,59.61538461538461,-1.0179079650456795,208,78.36538461538461,-3.8071185898055777,208,0.0,,,,
2025-04-03,2,100.0,80.04704140321118,2,100.0,72.70228374505525,2,0.0,,0,-,-,0,-,-,0,-,-,1,100.0,23.386131661003873,1,100.0,28.276933937585834,1,0.0,,209,87.08133971291866,-3.3592100206863864,209,91.38755980861244,-4.925050346514638,209,0.0,,,,
